"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_img"
"84消毒液喷洒空气可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>84消毒液用于物体表面的消毒，并且要达到一定的浓度才能取得好的效果。",""
"95%的酒精消毒液可以预防新型冠状病毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以用于针对新型冠状病毒的消毒，95%的酒精会凝固病原体表面的蛋白质，形成“盔甲”，反而不容易杀死病毒。",""
"白醋加热雾化有消毒预防效果？","","","有","没有","","","1","正确答案：B 没有。<br/>针对新型冠状病毒目前只推荐56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等消毒的方法。",""
"白醋煮沸可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>醋中的主要成分是醋酸，也就是乙酸。过氧乙酸是可以杀灭新型冠状病毒的，但乙酸不是过氧乙酸，这是不同的两种物质。",""
"超市或者药店买的含氯消毒液可以消毒新型肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯消毒液是可以杀灭新型状病毒的，但要达到一定的浓度。",""
"吃东西能缓解情绪焦虑吗？","","","能","不能","能是能，但不健康","","2","知识官高松老师：<span>吃东西催生多巴胺缓解焦虑，但也催生肥胖。提醒你，下次可能会对肥胖产生焦虑哦</span>",""
"持续人传人的特点是：","","","很容易形成流行"," A传给B，B可以传给C ","病毒传染力强","以上都对","3","正确答案：D 以上都对<br/>持续人传人指的是病毒可以连续传几代，比如A传给B，B又传给C，C又传给D，这意味着病毒传播能力比初期的动物传人、人传人更强，感染人数呈指数增加，很容易形成传染病流行。",""
"春节回家如何让自己旅途更为安全？","","","避开经过武汉的列车","出行佩戴N95口罩","旅途自带免洗洗手液勤洗手","以上都对","3","正确答案：D 以上都对<br/>知识官阿源老师：目前主要的感染者集中在武汉地区，因此避开经过武汉的列车可以有效降低风险；出行佩戴 N95 口罩是有效的预防手段；旅途自带免洗洗手液，在接触口、眼、鼻之前，吃饭之前、上厕所之后洗手，均可减少自己的感染风险。",""
"从什么地方获得的心理支持最专业？","","","亲友聊天","拨打心理求助热线","自己上网看","","1","知识官高松老师：<span>非常难捱时就及时打。不是很难捱时，亲友聊天或做些转移注意力的事缓解一下</span>",""
"打喷嚏时，正确的做法是：","","","头扭向一边","用手捂住口鼻","用纸巾或者手肘捂住口鼻","想打就打","2","正确答案：C 用纸巾或者手肘捂住口鼻<br/>知识官阿源老师：打喷嚏时，我们需要防止飞沫传播，只有用手肘和纸巾才能完全捂住口鼻，此时方向也应该避开他人。",""
"当听说所在城市出现病例时，最保险的做法是：","","","正常过年、聚会","紧闭门窗，防止病毒侵入","尽量不外出，外出佩戴口罩","马上逃离，去其他城市","2","正确答案：C 尽量不外出，外出佩戴口罩<br/>知识官阿源老师：避免到人群密集的地方，及出门佩戴口罩可以明显的降低感染风险；而为了提升室内空气质量，应该选择通风；聚会或到其他城市，都有可能到人群密集的地方，而导致风险升高。",""
"点艾灸可以消毒杀菌？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>新型冠状病毒感染的肺炎诊疗方案(试行第三版)中明确指出新型冠状病毒对热敏感，56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等脂溶剂均可有效灭活病毒。并没有关于艾灸的推荐，所以是不可以的。",""
"电吹风对着吹三十秒可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>新型冠状病毒对热敏感，但需要在56摄氏度下，30分钟，才能灭活，所以这种说法是错误的。",""
"对新型冠状病毒疫情感到很恐慌是不是正常心理?","","","不正常","正常","不知道","","1","知识官高松老师：<span>人自然畏惧不够熟悉的事物，越清楚地了解，越有助于消除恐慌</span>",""
"对于离开疫区的人，以下看法哪个不正确：","","","可能只是不知情","可能只是太害怕了","离开疫区的就是坏人","","2","知识官高松老师：<span>没有切身的体会，不可轻易做论断</span>",""
"对于预防新型冠状病毒肺炎，下列哪个说法是错误的？","","","应当尽量少出门","避免去人群密集的地方","出门时需佩戴口罩","我身体好，没事的","3","正确答案：D 我身体好，没事的<br/>知识官阿源老师：新型冠状病毒作为新病毒，人类第一次接触，任何人都没抗体，人群普遍易感，身体好并不能降低感染几率。",""
"风油精能杀菌消毒？","","","能","不能","","","1","正确答案：B 不能<br/>乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿是可以杀灭新型冠状病毒的，而风油精中没有有效杀灭病毒的成分。",""
"关于身体与心理间的关系，哪个理解不正确：","","","身体状态影响心理状态","心理状态影响身体状态","二者各自独立，没有关系","","2","知识官高松老师：<span>身心本是一体，适当锻炼不仅增强免疫，同时会改善心境</span>",""
"孩子因为“疫情”出现伤心害怕，紧张不安怎么办？","","","不管他，自然会过去的","叫他要勇敢","抱着ta，询问他的感受","","2","知识官高松老师：<span>内心深处的安全感来自于童年的抱持性环境</span>",""
"孩子在隔离中躁动难耐怎么办？","","","要乖不准乱动","和ta一起游戏，或交流体会","多安排一些作业","","1","知识官高松老师：<span>把焦躁变成兴奋，把不安变成交流</span>",""
"含氯消毒粉对新型冠状病毒有预防作用？","","","有","没有","","","0","正确答案：A 有<br/>含氯消毒粉是可以杀灭新型冠状病毒的，需要做成水剂使用，氯的有效浓度要达到400-700mg/L，主要用于地面和物体表面的消毒。",""
"花露水含有酒精，可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以杀灭新型冠状病毒，花露水中的酒精含量微乎其微，是不可以用于消毒的。",""
"回家过年，下面哪道菜最好不要做？","","","烤竹鼠","炝炒白菜","红烧猪肉","干煸豇豆","0","正确答案：A 烤竹鼠<br/>知识官阿源老师：正是因为野味才引起了这次感染，因此我们应该避免食用竹鼠等。",""
"火碱能用来抗新型冠状病毒肺炎？","","","能","不能","","","1","正确答案：B 不能<br/>火碱成分为氢氧化钠，是强碱，具有强腐蚀性。可用于杀灭新型冠状病毒的化学消毒剂包括：乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿，并不包括氢氧化钠，所以是不可以的。",""
"家人在疫区，我爱莫能助，很担忧怎么办？","","","相信永远都这么糟","允许担忧存在，同时深呼吸放松","设法不要想","","1","知识官高松老师：<span>感受担忧感同时练习放松，最后会感觉适应</span>",""
"酒精放入加湿器，喷出的雾气可以进行房间消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以杀灭新型冠状病毒，放入加湿器是达不到这样的浓度的。即使能达到也不主张应用，因为高浓度挥发的酒精会对人体的气管产生刺激，导致不良后果。",""
"看到好多人聚在一起或不戴口罩，哪种看法比较可取：","","","很多人在做的就是对的","空气清新，是安全的","别人都这样做，也不代表没事","","2","知识官高松老师：<span>多数人做的，并不等于是真理，相信自己的理性，不要盲目从众</span>",""
"可以用喝的白酒稀释替代酒精消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>酒精作为医用消毒剂是要达到一定的浓度的，只有达到特定的浓度才具有杀灭病毒的作用，白酒稀释很难达到标准的有效浓度。",""
"路上遇见戴口罩的人，我们应该：","","","感到恐慌，躲开他","骂他小题大做","向他学习，口罩戴起来","无视他","2","正确答案：C 向他学习，口罩戴起来<br/>知识官阿源老师：这个冬季不仅有新型冠状病毒肺炎，还有流感的流行，我们外出时佩戴口罩，可以有效预防两种疾病，应该学习起来。",""
"哪个场景不属于和新型冠状病毒肺炎患者亲密接触？","","","与患者曾经同坐一辆车","与患者一起吃过饭","与患者是同一办公室同事","曾远远地看患者上救护车","3","正确答案：D 曾经远远地看见患者上救护车。",""
"哪个口罩可以预防新型冠状病毒肺炎？","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q12.png","纸口罩","棉布口罩","活性炭口罩","医用外科口罩","3","正确答案：D 医用外科口罩。",""
"哪个情况需要立即更换口罩？","","","接触完发热的人","刚刚打了喷嚏","口罩已经出现折损","以上都需要","3","正确答案：D 以上都需要。",""
"哪个是新型冠状病毒肺炎的常见症状？","","","发热（体温≥38℃）","呼吸急促、咳嗽","浑身乏力","以上都是","3","正确答案：D 以上都是。",""
"哪种方式对缓解无聊压抑的帮助最小？","","","室内运动","睡觉","把心情感想与朋友分享","","1","知识官高松老师：<span>保持不动其实是无聊压抑状态的催化剂，除非真的睡眠不足</span>",""
"泡腾消毒片可以进行消毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯的泡腾消毒片是可以用于消毒的，它溶解于水中，配成一定浓度的消毒液是可以用于消毒的。",""
"朋友从疫区出去四处旅游，我想劝ta隔离，但怕ta觉得我歧视ta，以下哪种做法最可取：","","","责怪ta骂醒ta","算了不要坏了交情","明确提醒，语气中正，不怕得罪","","2","知识官高松老师：<span>时间久了之后，人都能明白谁是真朋友，但单纯责难批评容易引起故意对抗</span>",""
"亲戚有人出现疑似症状怎么办？","","","鼓励隔离","悄悄提醒周围人","假装不知道，不伤情面","","0","知识官高松老师：<span>情面有修复的机会，说不定还因此加深</span>",""
"劝亲戚戴口罩不听怎么办？","","","尽量劝说，但不背负自责","做不到是我的错","他们都不理解我，命苦！","","0","知识官高松老师：<span>知道有些事强求不来，最终为一个人生命负责任的人是ta自己，不是你</span>",""
"如果你不幸被隔离观察，对你心理状态最有好处的是？","","","时刻紧张","抱怨“我怎么这么倒霉”","太好了，有时间追剧了！","","2","知识官高松老师：<span>紧张与低落心情会降低免疫力，放松心情可以提高免疫力</span>",""
"如果习俗认为不拜年是不给面子，我可以怎么对待？","","","面子最重要","亲情和谐最重要","他们爱咋想咋想","","2","知识官高松老师：<span>不屈从于群体，你就长大了</span>",""
"如果要接触发热的人，下面哪个口罩最合适？","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q13.png","海绵口罩","医用防护口罩","活性炭口罩","医用外科口罩","1","正确答案：B 医用防护口罩。",""
"如何看待重大公共事件对孩子的影响？","","","孩子懂什么，不会有影响","孩子心理会受到重大冲击","可能有影响，但可以弥补","","2","知识官高松老师：<span>父母的解释方式，呈现情绪，比事件本身的影响大得多</span>",""
"身边朋友出现了发热症状，我应该：","","","避免和朋友近距离接触","建议朋友佩戴口罩并就诊","减少自身出行计划","以上都对","3","正确答案：D 以上都对<br/>防护手段包括：出门佩戴口罩，医用外科口罩、N95 外科口罩等均可，最长可持续使用 4 小时或内层变湿润；勤洗手；避免去人多的地方；保持家里通风；咳嗽、打喷嚏时，用纸巾捂住口鼻，事后要洗手；在家要吃熟食，肉类、蛋类、奶类等。",""
"什么方式对失眠没有疗效？","","","放轻音乐","听催眠冥想","告诉自己失眠有严重后果","","2","知识官高松老师：<span>关注能放松的东西，不关注加重紧张的东西</span>",""
"什么样的心理状态对于抵抗疫情有帮助？","","","绷紧神经，战战兢兢","无所谓，反正身边人没感染","做好一切防护，该干嘛干嘛","","2","知识官高松老师：<span>疏忽则可能酿成事故，而焦虑不会对任何事情有帮助</span>",""
"双氧水消毒对肺炎病毒有用？","","","有","没有","","","0","正确答案：A 有<br/>双氧水是过氧化物的一种，对新型冠状病毒是有效的，但3%的双氧水通常用于伤口清洁，而不用于环境消毒。",""
"我担心触碰的每件东西都不干净怎么办？","","","什么东西都不要碰","做好应有程度的预防","每天洗手300遍","","1","知识官高松老师：<span>凡事无法万无一失，但过度恐惧请寻求专业帮助</span>",""
"下列关于新型冠状病毒肺炎说法错误的是：","","","与患者亲密接触会被传染","病毒可能来自野味","它就是SARS ","会通过飞沫传染","2","正确答案：C 它就是SARS。<br/>知识官阿源老师：武汉这次的疾病是新型冠状病毒肺炎，其病毒名字是2019-nCOV，与2003年的SARS病毒不是同一个疾病。",""
"下列哪个不能有效消灭新型冠状病毒？","","","过氧乙酸","醋（乙酸）","浓度不低于75%的酒精","高温","1","正确答案：B 醋（乙酸）<br/>网上盛传熏醋可以杀灭病毒，其实是因为非典时使用了过氧乙酸而造成的误传。在家熏醋不能达到消毒的效果：一是过氧乙酸的消毒作用主要是因为其有强氧化性，而不是因为乙酸；二是醋里的乙酸浓度很低；三是醋会刺激人的眼睛、呼吸道，不利于健康。",""
"下列哪个不是新型冠状病毒肺炎的常见症状？","","","休息或日常活动时呼吸困难","腹泻","皮疹","感冒好转后，情况突然恶化","2","正确答案：C 皮疹<br/>据《新型冠状病毒肺炎诊疗快速指南》，该肺炎起病以发热为主要临床表现，可合并轻度干咳、乏力、呼吸不畅、腹泻等症状，流涕、咳痰等其他症状少见。如果出现感冒好转后，情况突然恶化，也需要警惕。",""
"下列哪个行为不可以预防新型冠状病毒肺炎？","","","打肺炎疫苗","宅在家里","打开门窗通风","将买来的肉、蛋煮熟再吃","0","正确答案：A 打肺炎疫苗<br/>知识官阿源老师：肺炎疫苗是针对肺炎球菌肺炎的疫苗，是细菌性肺炎；而新型冠状病毒肺炎是病毒性肺炎，肺炎疫苗并不具备预防作用。",""
"下列哪个行为感染新型冠状病毒的风险最低：","","","去武汉旅游","与患者亲密接触","从武汉回家","哪儿也不去，待在家里","3","正确答案：D 哪儿也不去，待在家里。",""
"下列哪个行为可以预防新型冠状病毒肺炎？","","","抽烟","喝板蓝根","戴口罩、勤洗手","服用达菲","2","正确答案：C 戴口罩、勤洗手<br/>知识官阿源老师：目前新型冠状病毒尚无针对性的药物，而抽烟不仅不能预防感染，还会降低人体免疫力.",""
"下列哪个行为可以预防新型冠状病毒肺炎?","","","张伯在路边和一群人看热闹","李伯去最热闹的公园健身","张阿姨乘坐公交赶早市","李婶出门戴口罩避开人群","3","正确答案：D 李婶出门戴口罩避开人群。",""
"下列哪个说法是正确的？","","","空气不好才需要戴口罩","已确定人传人，需口罩防范","不吃野味就没事","我抵抗力好，不需要戴口罩","1","正确答案：B 已确定人传人，需要口罩防范<br/>知识官阿源老师：钟南山院士在接受央视采访时，已经声明新型冠状病毒肺炎存在人传人。",""
"下面哪个场所，危险性最低？","","","海鲜市场","家里","办公室","菜市场","1","正确答案：B 家里",""
"下面正确佩戴口罩的方式：","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q34.png","吸水面朝外","鼻子外漏","遮住口鼻，紧贴鼻梁","穿戴污染口罩","2","正确答案：C 遮住口鼻，紧贴鼻梁<br/>知识官阿源老师：武汉肺炎爆发后，天天给你转发养生知识的中国父母，还暴露在拒绝戴口罩的危险之下。",""
"小红从武汉回来，约小李见面，小李最安全的做法是：","","","约在咖啡厅见面","约在公园见面","约在酒吧见面","视频见面，建议她监测体温","3","正确答案：D 视频见面，建议小红监测体温",""
"小红到武汉旅游了一趟，她最长需要观察多少天才能排除感染呢？","","","3天","7天","14天","30天","2","正确答案：C 14天<br/>知识官阿源老师：国家卫健委专家组成员高占成21日晚接受《新闻1+1》采访时表示，目前病毒的潜伏期，从现有病例来看，平均是7天左右，短的2到3天，长的14天。",""
"小红是武汉人，已经订了回家的高铁票，今天放假了，最安全的选择是：","","","按照既定行程回家","取消行程，待在现住地","取消行程去外地玩","将高铁票换成飞机票","1","正确答案：B 取消行程，待在现住地<br/>知识官阿源老师：国家卫健委高级别专家组专家呼吁公众：现在能不到武汉去就不去，武汉人能不出来就不出来。",""
"小红有一份来自武汉的快递，以下做法正确的是：","","","口罩从武汉发货，拒收","纸巾从武汉发货，拒收","野味从武汉发货，不下单","衣服从武汉发货，拒收","2","正确答案：C 野味从武汉发货，不下单<br/>武汉的正常快递不需要拒收，因为病毒在体外存活时间有限，且快递在运输过程中经过了充分的通气，很难成为病毒的载体。但是对于肉类等，目前还是需要谨慎对待。",""
"小红在武汉工作，已经出现了发热，正确的做法是：","","","吃完退烧药就不管了","就近去医院发热门诊就诊","为了团圆，坐飞机回老家","默默忍受，坚持工作","1","正确答案：B 就近去医院发热门诊就诊",""
"新型冠状病毒和SARS病毒什么关系？","","","一样","近亲","完全没有关系","不好说","1","正确答案：B 近亲。",""
"盐水漱口可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>口腔医学研究表明，不论是用清水、还是用盐水漱口，对暂时减少口腔细菌的数量是有效的。作用原理是通过漱口减少口腔中病原微生物的定植，而不是杀灭病原微生物。消毒是指杀死病原微生物、但不一定能杀死细菌芽孢的方法。",""
"一个口罩能用几次？","","","1次","2次"," 3次","4次","0","正确答案：A 1次",""
"一个口罩最长能用几小时? ","","","1小时","2小时"," 3小时","4小时","3","正确答案：D 4小时。",""
"以下哪一个情况，需要专业心理帮助？","","","每天极度担心自己得病","抱怨买不到菜","不听劝非要去打麻将","","0","知识官高松老师：<span>心理援助只能帮助非常不舒服而难以自我处理的人。坚持危险行为的，可以找警察</span>",""
"疫情期间，发现自己情绪低落，容易紧张，最好怎么办？","","","室内运动","睡觉","看手机分散注意力","","0","知识官高松老师：<span>运动直接改善心境。也可以找些积极的事来做</span>",""
"用过的口罩可以直接用84消毒液浸泡消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>目前可以用于防护病毒的口罩是外科口罩和医用防护口罩，这几种口罩都是一次性的，遇到水后，防护效力就会减弱或消失，所以是不可以的。",""
"用什么方式和孩子解释这一次“疫情”？","","","故事、绘本、游戏等方式","新闻，电视","大人的事小孩别管","","0","知识官高松老师：<span>可以利用好每一个特别的经历帮助孩子成长</span>",""
"有朋友严重过度恐惧或痛苦，最有效的帮助手段是？","","","推荐专业心理辅导","摆事实讲道理分析劝说","想办法分散ta的注意力","","0","知识官高松老师：<span>小问题可以自己解决，大问题让专业的人来解决</span>",""
"有限人传人的特点是：","","","病毒传染力相对较弱"," A传给B，B没有传染性","以上都对","以上都不对","2","正确答案：C 以上都对<br/>知识官阿源老师：有限人传人指的是，甲感染了传染病，将其传染给了乙、丙，但乙、丙并不具备足够的传染性，无法再传染给其他人了。",""
"在商场里，觉得口罩闷，我可以：","","","他们都戴了，我不戴没事","不要摘，万一有人跟我一样想","有危险的人肯定都被监管起来了","","1","知识官高松老师：<span>侥幸心理让多少人中了招</span>",""
"在手上喷洒医用酒精可以起到消毒效果？","","","可以","不可以","","","0","正确答案：A 可以<br/>只限于75%的酒精可以杀灭新型冠状病毒。",""
"遭受重大打击后，人的心理反应正常顺序是：","","","悲伤—否认—愤怒—接受","否认—愤怒—悲伤—接受","愤怒—否认—接受—悲伤","","1","知识官高松老师：<span>通常如此，有时也有混合和反复</span>",""
"怎么做对缓解焦虑是无效的？","","","随时都注意身上哪里不对","与亲友沟通谈心","转移注意力","","0","知识官高松老师：<span>太过紧张，甚至会产生有病的幻觉，按医学标准自我诊断就好了。</span>",""
"怎样劝慰因为疫情紧张焦虑的朋友？ ","","","劝说“你要想开”","告诉ta自己为什么不紧张","静静倾听","","2","知识官高松老师：<span>最好的纾解是倾听</span>",""
"紫外线消毒灯可以杀灭新型冠状肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以。<br/>北京市关于呼吸道传播性疾病（新型冠状病毒感染的肺炎）环境清洁消毒建议（试行）指出:病人检查后，感染疾病科医生或护士指导，检查床及周围表面使用消毒剂喷雾消毒，作用30min，技术员对控制台进行常规物表消毒；全体人员离开后，放射科技术员打开紫外线灯对检查室进行消毒，消毒时间>30min。",""
"作为疫区人，我觉得我被全国人民敌视：","","","这是真的","这是错觉","绝大部分人并没有","","2","知识官高松老师：<span>人生在世，怎么可能被所有人都正确理解呢？接受每个人有每个人的局限</span>",""
"做完哪些事后需要洗手？","","","出门回来","接触眼、口、鼻之前","做饭前","都需要","3","正确答案：D 都需要<br/>知识官阿源老师：以下场景应该洗手：外出回家，咳嗽或打喷嚏后，触摸口、鼻、眼之前，吃饭前，做饭前，处理食物前后，上厕所后，接触动物后。",""