"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_ig"
"电吹风对着吹三十秒可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>新型冠状病毒对热敏感，但需要在56摄氏度下，30分钟，才能灭活，所以这种说法是错误的。",""
"84消毒液喷洒空气可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>84消毒液用于物体表面的消毒，并且要达到一定的浓度才能取得好的效果。",""
"点艾灸可以消毒杀菌？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>新型冠状病毒感染的肺炎诊疗方案(试行第三版)中明确指出新型冠状病毒对热敏感，56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等脂溶剂均可有效灭活病毒。并没有关于艾灸的推荐，所以是不可以的。",""
"紫外线消毒灯可以杀灭新型冠状肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以。<br/>北京市关于呼吸道传播性疾病（新型冠状病毒感染的肺炎）环境清洁消毒建议（试行）指出:病人检查后，感染疾病科医生或护士指导，检查床及周围表面使用消毒剂喷雾消毒，作用30min，技术员对控制台进行常规物表消毒；全体人员离开后，放射科技术员打开紫外线灯对检查室进行消毒，消毒时间>30min。",""
"用过的口罩可以直接用84消毒液浸泡消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>目前可以用于防护病毒的口罩是外科口罩和医用防护口罩，这几种口罩都是一次性的，遇到水后，防护效力就会减弱或消失，所以是不可以的。",""
"白醋加热雾化有消毒预防效果？","","","有","没有","","","1","正确答案：B 没有。<br/>针对新型冠状病毒目前只推荐56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等消毒的方法。",""
"酒精放入加湿器，喷出的雾气可以进行房间消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以杀灭新型冠状病毒，放入加湿器是达不到这样的浓度的。即使能达到也不主张应用，因为高浓度挥发的酒精会对人体的气管产生刺激，导致不良后果。",""
"超市或者药店买的含氯消毒液可以消毒新型肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯消毒液是可以杀灭新型状病毒的，但要达到一定的浓度。",""
"在手上喷洒医用酒精可以起到消毒效果？","","","可以","不可以","","","0","正确答案：A 可以<br/>只限于75%的酒精可以杀灭新型冠状病毒。",""
"含氯消毒粉对新型冠状病毒有预防作用？","","","有","没有","","","0","正确答案：A 有<br/>含氯消毒粉是可以杀灭新型冠状病毒的，需要做成水剂使用，氯的有效浓度要达到400-700mg/L，主要用于地面和物体表面的消毒。",""
"双氧水消毒对肺炎病毒有用？","","","有","没有","","","0","正确答案：A 有<br/>双氧水是过氧化物的一种，对新型冠状病毒是有效的，但3%的双氧水通常用于伤口清洁，而不用于环境消毒。",""
"火碱能用来抗新型冠状病毒肺炎？","","","能","不能","","","1","正确答案：B 不能<br/>火碱成分为氢氧化钠，是强碱，具有强腐蚀性。可用于杀灭新型冠状病毒的化学消毒剂包括：乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿，并不包括氢氧化钠，所以是不可以的。",""
"花露水含有酒精，可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以杀灭新型冠状病毒，花露水中的酒精含量微乎其微，是不可以用于消毒的。",""
"可以用喝的白酒稀释替代酒精消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>酒精作为医用消毒剂是要达到一定的浓度的，只有达到特定的浓度才具有杀灭病毒的作用，白酒稀释很难达到标准的有效浓度。",""
"白醋煮沸可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>醋中的主要成分是醋酸，也就是乙酸。过氧乙酸是可以杀灭新型冠状病毒的，但乙酸不是过氧乙酸，这是不同的两种物质。",""
"盐水漱口可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>口腔医学研究表明，不论是用清水、还是用盐水漱口，对暂时减少口腔细菌的数量是有效的。作用原理是通过漱口减少口腔中病原微生物的定植，而不是杀灭病原微生物。消毒是指杀死病原微生物、但不一定能杀死细菌芽孢的方法。",""
"风油精能杀菌消毒？","","","能","不能","","","1","正确答案：B 不能<br/>乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿是可以杀灭新型冠状病毒的，而风油精中没有有效杀灭病毒的成分。",""
"泡腾消毒片可以进行消毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯的泡腾消毒片是可以用于消毒的，它溶解于水中，配成一定浓度的消毒液是可以用于消毒的。",""
"95%的酒精消毒液可以预防新型冠状病毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以用于针对新型冠状病毒的消毒，95%的酒精会凝固病原体表面的蛋白质，形成“盔甲”，反而不容易杀死病毒。",""
"如果要接触发热的人，下面哪个口罩最合适？","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q13.png","海绵口罩","医用防护口罩","活性炭口罩","医用外科口罩","1","正确答案：B 医用防护口罩。",""
"下列哪个行为可以预防新型冠状病毒肺炎？","","","抽烟","喝板蓝根","戴口罩、勤洗手","服用达菲","2","正确答案：C 戴口罩、勤洗手<br/>知识官阿源老师：目前新型冠状病毒尚无针对性的药物，而抽烟不仅不能预防感染，还会降低人体免疫力.",""
"对于预防新型冠状病毒肺炎，下列哪个说法是错误的？","","","应当尽量少出门","避免去人群密集的地方","出门时需佩戴口罩","我身体好，没事的","3","正确答案：D 我身体好，没事的<br/>知识官阿源老师：新型冠状病毒作为新病毒，人类第一次接触，任何人都没抗体，人群普遍易感，身体好并不能降低感染几率。",""
"打喷嚏时，正确的做法是：","","","头扭向一边","用手捂住口鼻","用纸巾或者手肘捂住口鼻","想打就打","2","正确答案：C 用纸巾或者手肘捂住口鼻<br/>知识官阿源老师：打喷嚏时，我们需要防止飞沫传播，只有用手肘和纸巾才能完全捂住口鼻，此时方向也应该避开他人。",""
"下列哪个行为不可以预防新型冠状病毒肺炎？","","","打肺炎疫苗","宅在家里","打开门窗通风","将买来的肉、蛋煮熟再吃","0","正确答案：A 打肺炎疫苗<br/>知识官阿源老师：肺炎疫苗是针对肺炎球菌肺炎的疫苗，是细菌性肺炎；而新型冠状病毒肺炎是病毒性肺炎，肺炎疫苗并不具备预防作用。",""
"下列哪个不能有效消灭新型冠状病毒？","","","过氧乙酸","醋（乙酸）","浓度不低于75%的酒精","高温","1","正确答案：B 醋（乙酸）<br/>网上盛传熏醋可以杀灭病毒，其实是因为非典时使用了过氧乙酸而造成的误传。在家熏醋不能达到消毒的效果：一是过氧乙酸的消毒作用主要是因为其有强氧化性，而不是因为乙酸；二是醋里的乙酸浓度很低；三是醋会刺激人的眼睛、呼吸道，不利于健康。",""
"下列哪个行为可以预防新型冠状病毒肺炎?","","","张伯在路边和一群人看热闹","李伯去最热闹的公园健身","张阿姨乘坐公交赶早市","李婶出门戴口罩避开人群","3","正确答案：D 李婶出门戴口罩避开人群。",""
"小红到武汉旅游了一趟，她最长需要观察多少天才能排除感染呢？","","","3天","7天","14天","30天","2","正确答案：C 14天<br/>知识官阿源老师：国家卫健委专家组成员高占成21日晚接受《新闻1+1》采访时表示，目前病毒的潜伏期，从现有病例来看，平均是7天左右，短的2到3天，长的14天。",""
"下列哪个行为感染新型冠状病毒的风险最低：","","","去武汉旅游","与患者亲密接触","从武汉回家","哪儿也不去，待在家里","3","正确答案：D 哪儿也不去，待在家里。",""
"哪个场景不属于和新型冠状病毒肺炎患者亲密接触？","","","与患者曾经同坐一辆车","与患者一起吃过饭","与患者是同一办公室同事","曾远远地看患者上救护车","3","正确答案：D 曾经远远地看见患者上救护车。",""
"哪个是新型冠状病毒肺炎的常见症状？","","","发热（体温≥38℃）","呼吸急促、咳嗽","浑身乏力","以上都是","3","正确答案：D 以上都是。",""
"下列哪个不是新型冠状病毒肺炎的常见症状？","","","休息或日常活动时呼吸困难","腹泻","皮疹","感冒好转后，情况突然恶化","2","正确答案：C 皮疹<br/>据《新型冠状病毒肺炎诊疗快速指南》，该肺炎起病以发热为主要临床表现，可合并轻度干咳、乏力、呼吸不畅、腹泻等症状，流涕、咳痰等其他症状少见。如果出现感冒好转后，情况突然恶化，也需要警惕。",""
"哪个口罩可以预防新型冠状病毒肺炎？","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q12.png","纸口罩","棉布口罩","活性炭口罩","医用外科口罩","3","正确答案：D 医用外科口罩。",""
"一个口罩能用几次？","","","1次","2次"," 3次","4次","0","正确答案：A 1次",""
"一个口罩最长能用几小时? ","","","1小时","2小时"," 3小时","4小时","3","正确答案：D 4小时。",""
"哪个情况需要立即更换口罩？","","","接触完发热的人","刚刚打了喷嚏","口罩已经出现折损","以上都需要","3","正确答案：D 以上都需要。",""
"做完哪些事后需要洗手？","","","出门回来","接触眼、口、鼻之前","做饭前","都需要","3","正确答案：D 都需要<br/>知识官阿源老师：以下场景应该洗手：外出回家，咳嗽或打喷嚏后，触摸口、鼻、眼之前，吃饭前，做饭前，处理食物前后，上厕所后，接触动物后。",""
"下面哪个场所，危险性最低？","","","海鲜市场","家里","办公室","菜市场","1","正确答案：B 家里",""
"当听说所在城市出现病例时，最保险的做法是：","","","正常过年、聚会","紧闭门窗，防止病毒侵入","尽量不外出，外出佩戴口罩","马上逃离，去其他城市","2","正确答案：C 尽量不外出，外出佩戴口罩<br/>知识官阿源老师：避免到人群密集的地方，及出门佩戴口罩可以明显的降低感染风险；而为了提升室内空气质量，应该选择通风；聚会或到其他城市，都有可能到人群密集的地方，而导致风险升高。",""
"回家过年，下面哪道菜最好不要做？","","","烤竹鼠","炝炒白菜","红烧猪肉","干煸豇豆","0","正确答案：A 烤竹鼠<br/>知识官阿源老师：正是因为野味才引起了这次感染，因此我们应该避免食用竹鼠等。",""
"小红有一份来自武汉的快递，以下做法正确的是：","","","口罩从武汉发货，拒收","纸巾从武汉发货，拒收","野味从武汉发货，不下单","衣服从武汉发货，拒收","2","正确答案：C 野味从武汉发货，不下单<br/>武汉的正常快递不需要拒收，因为病毒在体外存活时间有限，且快递在运输过程中经过了充分的通气，很难成为病毒的载体。但是对于肉类等，目前还是需要谨慎对待。",""
"小红在武汉工作，已经出现了发热，正确的做法是：","","","吃完退烧药就不管了","就近去医院发热门诊就诊","为了团圆，坐飞机回老家","默默忍受，坚持工作","1","正确答案：B 就近去医院发热门诊就诊",""
"小红从武汉回来，约小李见面，小李最安全的做法是：","","","约在咖啡厅见面","约在公园见面","约在酒吧见面","视频见面，建议她监测体温","3","正确答案：D 视频见面，建议小红监测体温",""
"路上遇见戴口罩的人，我们应该：","","","感到恐慌，躲开他","骂他小题大做","向他学习，口罩戴起来","无视他","2","正确答案：C 向他学习，口罩戴起来<br/>知识官阿源老师：这个冬季不仅有新型冠状病毒肺炎，还有流感的流行，我们外出时佩戴口罩，可以有效预防两种疾病，应该学习起来。",""
"下列哪个说法是正确的？","","","空气不好才需要戴口罩","已确定人传人，需口罩防范","不吃野味就没事","我抵抗力好，不需要戴口罩","1","正确答案：B 已确定人传人，需要口罩防范<br/>知识官阿源老师：钟南山院士在接受央视采访时，已经声明新型冠状病毒肺炎存在人传人。",""
"下列关于新型冠状病毒肺炎说法错误的是：","","","与患者亲密接触会被传染","病毒可能来自野味","它就是SARS ","会通过飞沫传染","2","正确答案：C 它就是SARS。<br/>知识官阿源老师：武汉这次的疾病是新型冠状病毒肺炎，其病毒名字是2019-nCOV，与2003年的SARS病毒不是同一个疾病。",""
"春节回家如何让自己旅途更为安全？","","","避开经过武汉的列车","出行佩戴N95口罩","旅途自带免洗洗手液勤洗手","以上都对","3","正确答案：D 以上都对<br/>知识官阿源老师：目前主要的感染者集中在武汉地区，因此避开经过武汉的列车可以有效降低风险；出行佩戴 N95 口罩是有效的预防手段；旅途自带免洗洗手液，在接触口、眼、鼻之前，吃饭之前、上厕所之后洗手，均可减少自己的感染风险。",""
"新型冠状病毒和SARS病毒什么关系？","","","一样","近亲","完全没有关系","不好说","1","正确答案：B 近亲。",""
"有限人传人的特点是：","","","病毒传染力相对较弱"," A传给B，B没有传染性","以上都对","以上都不对","2","正确答案：C 以上都对<br/>知识官阿源老师：有限人传人指的是，甲感染了传染病，将其传染给了乙、丙，但乙、丙并不具备足够的传染性，无法再传染给其他人了。",""
"持续人传人的特点是：","","","很容易形成流行"," A传给B，B可以传给C ","病毒传染力强","以上都对","3","正确答案：D 以上都对<br/>持续人传人指的是病毒可以连续传几代，比如A传给B，B又传给C，C又传给D，这意味着病毒传播能力比初期的动物传人、人传人更强，感染人数呈指数增加，很容易形成传染病流行。",""
"小红是武汉人，已经订了回家的高铁票，今天放假了，最安全的选择是：","","","按照既定行程回家","取消行程，待在现住地","取消行程去外地玩","将高铁票换成飞机票","1","正确答案：B 取消行程，待在现住地<br/>知识官阿源老师：国家卫健委高级别专家组专家呼吁公众：现在能不到武汉去就不去，武汉人能不出来就不出来。",""
"身边朋友出现了发热症状，我应该：","","","避免和朋友近距离接触","建议朋友佩戴口罩并就诊","减少自身出行计划","以上都对","3","正确答案：D 以上都对<br/>防护手段包括：出门佩戴口罩，医用外科口罩、N95 外科口罩等均可，最长可持续使用 4 小时或内层变湿润；勤洗手；避免去人多的地方；保持家里通风；咳嗽、打喷嚏时，用纸巾捂住口鼻，事后要洗手；在家要吃熟食，肉类、蛋类、奶类等。",""
"下面正确佩戴口罩的方式：","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q34.png","吸水面朝外","鼻子外漏","遮住口鼻，紧贴鼻梁","穿戴污染口罩","2","正确答案：C 遮住口鼻，紧贴鼻梁<br/>知识官阿源老师：武汉肺炎爆发后，天天给你转发养生知识的中国父母，还暴露在拒绝戴口罩的危险之下。",""
